day_of_week,avg_similarity,num_instances
Monday,0.4559984205346481,2
Tuesday,0.41913820964835224,2
Wednesday,0.37799550114267655,2
Thursday,0.48958171081908164,2
Friday,0.3989836153439521,2
Saturday,0.38109685178357444,2
Sunday,0.4345434362613818,2
