,alex,bella,charlie,diana,ethan,fiona
alex,0,4,10,4,5,9
bella,4,0,9,7,6,5
charlie,9,8,0,6,5,4
diana,4,8,5,0,6,4
ethan,5,5,5,10,0,4
fiona,10,8,5,5,6,0
