agent,Entries,Mean,Std Dev,Min,Max
alex,14,0.175,0.032,0.122,0.231
bella,14,0.142,0.039,0.093,0.219
charlie,14,0.165,0.036,0.11,0.247
diana,14,0.128,0.033,0.085,0.214
ethan,14,0.157,0.046,0.093,0.244
fiona,14,0.125,0.034,0.078,0.178
